Date Time,Level (inches),Flow (gpm),Site ID,Year
8/5/15 13:10,0.016,0.000,SDG072,2015
8/5/2015 13:15,0.016,0,SDG072,2015
8/5/2015 13:20,0.017,0,SDG072,2015
8/5/2015 13:25,0.018,0,SDG072,2015
8/5/2015 13:30,0.021,0,SDG072,2015
8/5/2015 13:35,0.024,0,SDG072,2015
8/5/2015 13:40,0.027,0,SDG072,2015
8/5/2015 13:45,0.032,0,SDG072,2015
8/5/2015 13:50,0.038,0.001,SDG072,2015
8/5/2015 13:55,0.045,0.001,SDG072,2015
8/5/2015 14:00,0.05,0.001,SDG072,2015
8/5/2015 14:05,0.058,0.002,SDG072,2015
8/5/2015 14:10,0.065,0.002,SDG072,2015
8/5/2015 14:15,0.071,0.003,SDG072,2015
8/5/2015 14:20,0.077,0.004,SDG072,2015
8/5/2015 14:25,0.083,0.005,SDG072,2015
8/5/2015 14:30,0.09,0.005,SDG072,2015
8/5/2015 14:35,0.098,0.007,SDG072,2015
8/5/2015 14:40,0.103,0.008,SDG072,2015
8/5/2015 14:45,0.108,0.009,SDG072,2015
8/5/2015 14:50,0.114,0.01,SDG072,2015
8/5/2015 14:55,0.119,0.011,SDG072,2015
8/5/2015 15:00,0.124,0.012,SDG072,2015
8/5/2015 15:05,0.13,0.014,SDG072,2015
8/5/2015 15:10,0.137,0.016,SDG072,2015
8/5/2015 15:15,0.14,0.016,SDG072,2015
8/5/2015 15:20,0.145,0.018,SDG072,2015
8/5/2015 15:25,0.15,0.019,SDG072,2015
8/5/2015 15:30,0.154,0.021,SDG072,2015
8/5/2015 15:35,0.158,0.022,SDG072,2015
8/5/2015 15:40,0.161,0.024,SDG072,2015
8/5/2015 15:45,0.164,0.025,SDG072,2015
8/5/2015 15:50,0.169,0.026,SDG072,2015
8/5/2015 15:55,0.172,0.028,SDG072,2015
8/5/2015 16:00,0.176,0.029,SDG072,2015
8/5/2015 16:05,0.18,0.031,SDG072,2015
8/5/2015 16:10,0.184,0.033,SDG072,2015
8/5/2015 16:15,0.188,0.034,SDG072,2015
8/5/2015 16:20,0.191,0.036,SDG072,2015
8/5/2015 16:25,0.192,0.036,SDG072,2015
8/5/2015 16:30,0.195,0.038,SDG072,2015
8/5/2015 16:35,0.196,0.038,SDG072,2015
8/5/2015 16:40,0.197,0.039,SDG072,2015
8/5/2015 16:45,0.198,0.039,SDG072,2015
8/5/2015 16:50,0.199,0.04,SDG072,2015
8/5/2015 16:55,0.201,0.041,SDG072,2015
8/5/2015 17:00,0.204,0.042,SDG072,2015
8/5/2015 17:05,0.207,0.044,SDG072,2015
8/5/2015 17:10,0.21,0.045,SDG072,2015
8/5/2015 17:15,0.211,0.046,SDG072,2015
